时间截 R分量 G分量 B分量  Y分量 U分量 V分量 脉搏 血氧
1409910344163 212.83354 31.348242 11.259558  87.78327 45.671093 104.65724 0 0
1409910344180 212.91931 31.388111 11.300104  87.82862 45.669765 104.66729 0 0
1409910344265 212.9885 31.453463 11.319011  87.88371 45.660652 104.66979 0 0
1409910344304 213.29187 31.672916 11.368503  88.083374 45.617527 104.69281 0 0
1409910344314 213.35777 31.73414 11.384883  88.1335 45.611588 104.69565 0 0
1409910344332 213.40854 31.757097 11.3723955  88.155754 45.59995 104.703804 0 0
1409910344421 213.45288 31.783815 11.405013  88.18507 45.600887 104.70638 0 0
1409910344448 213.92761 32.14604 11.558646  88.5087 45.543854 104.73865 0 0
1409910344464 214.04204 32.231316 11.550547  88.58034 45.51719 104.74831 0 0
1409910344538 214.1913 32.340534 11.571445  88.6797 45.499245 104.75997 0 0
1409910344579 214.49571 32.558426 11.660352  88.87968 45.46956 104.78276 0 0
1409910344690 214.68594 32.7234 11.6672  89.01316 45.426903 104.79411 0 0
1409910344738 215.2072 33.133724 11.753776  89.36433 45.34987 104.8306 0 0
1409910344841 215.06589 33.10203 11.732617  89.30896 45.361744 104.80529 0 0
1409910344883 212.81062 31.436445 11.388138  87.83565 45.696095 104.6331 0 0
1409910345023 212.89633 31.440273 11.392383  87.8577 45.684322 104.651665 0 0
1409910345053 213.04172 31.460938 11.402461  87.9119 45.675835 104.67729 0 0
1409910345111 212.95392 31.406355 11.409726  87.85794 45.694298 104.66854 0 0
1409910345184 212.76384 31.259987 11.385899  87.72599 45.718178 104.65607 0 0
1409910345261 212.92172 31.342213 11.382877  87.812904 45.697838 104.67482 0 0
1409910345320 213.25105 31.57595 11.440976  88.02617 45.65229 104.70216 0 0
1409910345387 213.40407 31.681627 11.483216  88.12859 45.636173 104.712425 0 0
1409910345487 213.46765 31.76625 11.468476  88.184685 45.61401 104.71245 0 0
1409910345529 213.65692 31.909517 11.508711  88.31331 45.588306 104.72479 0 0
1409910345627 213.84401 32.04318 11.597096  88.43879 45.56612 104.73747 0 0
1409910345697 214.28578 32.349674 11.674544  88.71931 45.510468 104.77399 0 0
1409910345723 214.57079 32.57676 11.698919  88.909454 45.461197 104.79575 0 0
1409910345837 214.651 32.644466 11.689922  88.96346 45.441067 104.80216 0 0
1409910345862 212.15442 30.954296 11.281042  87.39628 45.77117 104.58422 0 0
1409910345925 212.11124 30.87332 11.305222  87.34742 45.797997 104.58935 0 0
1409910345983 214.86783 32.249493 11.750859  88.820625 45.512733 104.92341 0 0
1409910346080 215.08778 32.36574 11.989466  88.9535 45.506927 104.943436 0 0
1409910346114 214.94933 32.322853 11.959935  88.89234 45.51474 104.92185 0 0
1409910346187 214.84526 32.237606 11.951862  88.82053 45.53409 104.91524 0 0
1409910346294 215.00142 32.292564 11.979948  88.891304 45.52245 104.93901 0 0
1409910346347 215.56816 32.72811 12.057226  89.27698 45.43456 104.97867 0 0
1409910346450 215.71837 32.851418 12.045534  89.38021 45.397606 104.98776 0 0
1409910346506 215.97003 33.09819 12.106393  89.57824 45.35289 104.9963 0 0
1409910346587 216.16371 33.24974 12.113854  89.7112 45.322655 105.01008 0 0
1409910346618 216.541 33.56651 12.161224  89.97848 45.257915 105.033 0 0
1409910346654 216.8027 33.768555 12.083698  90.1431 45.20367 105.055885 0 0
1409910346748 216.92465 33.861393 12.164141  90.23272 45.19883 105.06263 0 0
1409910346793 216.3298 33.610313 12.004609  89.92563 45.23974 104.98515 0 0
1409910346913 214.55318 32.35534 11.564727  88.76887 45.46805 104.8418 0 0
1409910346951 214.98091 32.41525 11.700234  88.927864 45.46302 104.919014 0 0
1409910346982 215.27869 32.584675 11.756198  89.095276 45.428802 104.951195 0 0
1409910347016 215.44499 32.72815 11.773711  89.21741 45.39815 104.960236 0 0
1409910347075 215.20392 32.614662 11.726979  89.09267 45.426952 104.92914 0 0
1409910347143 214.96304 32.42755 11.725494  88.9319 45.467785 104.91213 0 0
1409910347230 214.90555 32.35345 11.665937  88.87249 45.46948 104.91537 0 0
1409910347313 215.6586 32.829792 11.7834635  89.327644 45.37263 104.988174 0 0
1409910347346 216.07465 33.17686 11.844049  89.620415 45.301327 105.01299 0 0
1409910347435 216.1605 33.236744 11.864076  89.675316 45.290886 105.020935 0 0
1409910347479 216.40854 33.470795 11.9183855  89.867096 45.251743 105.029816 0 0
1409910347566 216.51274 33.5503 11.91099  89.93426 45.227108 105.03877 0 0
1409910347634 216.92702 33.850807 11.989583  90.20981 45.176876 105.07016 0 0
1409910347727 217.19261 34.10535 12.026498  90.41254 45.125496 105.082085 0 0
1409910347759 214.66547 32.41845 11.573528  88.83383 45.45526 104.85453 0 0
1409910347855 214.48477 32.186172 11.668268  88.67908 45.512657 104.85461 0 0
1409910347902 215.22658 32.500847 11.841901  89.05498 45.456173 104.951195 0 0
1409910348000 215.51549 32.705612 11.864258  89.24101 45.41125 104.97503 0 0
1409910348062 215.07104 32.466095 11.775664  88.99178 45.458153 104.92484 0 0
1409910348183 215.12779 32.455364 11.789987  89.00109 45.458515 104.938515 0 0
1409910348210 215.80421 32.903515 11.893242  89.42141 45.36513 104.99987 0 0
1409910348339 216.03432 33.07901 11.93586  89.57673 45.33375 105.017006 0 0
1409910348355 216.37625 33.414154 11.951276  89.840836 45.25922 105.03047 0 0
1409910348386 216.45699 33.470364 11.956328  89.89094 45.2431 105.038414 0 0
1409910348463 216.49188 33.51405 11.9713545  89.92425 45.242786 105.03709 0 0
1409910348493 217.02437 33.892384 12.009558  90.26135 45.165676 105.08312 0 0
1409910348601 217.12724 33.992344 12.023907  90.34102 45.14854 105.08797 0 0
1409910348681 214.79842 32.528854 11.5497265  88.92587 45.420155 104.86341 0 0
1409910348771 214.65218 32.192787 11.787579  88.73115 45.526302 104.88768 0 0
1409910348854 215.49046 32.729973 11.864414  89.24287 45.402397 104.969246 0 0
1409910348900 215.09004 32.53793 11.78845  89.02889 45.442993 104.9188 0 0
1409910349012 214.88103 32.378162 11.754284  88.884834 45.468853 104.903564 0 0
1409910349054 215.3984 32.677734 11.883047  89.192696 45.420597 104.95672 0 0
1409910349172 215.74777 32.942356 11.9366665  89.42296 45.368202 104.982475 0 0
1409910349203 215.99991 33.22073 11.950859  89.63289 45.309376 104.98695 0 0
1409910349298 216.03516 33.247173 11.939349  89.65358 45.301926 104.98979 0 0
1409910349342 216.18292 33.406017 11.965208  89.77686 45.271095 104.99344 0 0
1409910349405 215.05075 32.667397 11.727044  89.07659 45.409817 104.88821 0 0
1409910349448 213.73549 31.634167 11.395807  88.1694 45.587837 104.804375 0 0
1409910349543 213.83017 31.594336 11.486614  88.18392 45.60578 104.82886 0 0
1409910349590 214.6382 32.108425 11.6025  88.67422 45.503384 104.90601 0 0
1409910349600 214.61716 32.131275 11.591055  88.68181 45.499844 104.89591 0 0
1409910349653 214.46472 32.04693 11.556133  88.59493 45.51367 104.88073 0 0
1409910349717 214.16798 31.854465 11.503321  88.40973 45.551456 104.8525 0 0
1409910349790 214.23761 31.845299 11.523972  88.42497 45.553436 104.86971 0 0
1409910349845 214.6262 32.09772 11.580274  88.66418 45.50362 104.90487 0 0
1409910349899 214.96796 32.335144 11.634544  88.88239 45.45677 104.93352 0 0
1409910349952 215.08037 32.453934 11.624544  88.97113 45.425964 104.93677 0 0
1409910350089 215.22615 32.574245 11.637357  89.07414 45.400936 104.94555 0 0
1409910350121 215.63206 32.920116 11.667227  89.359665 45.32091 104.969894 0 0
1409910350183 215.64432 32.95797 11.697982  89.38504 45.3262 104.964584 0 0
1409910350254 214.24144 32.107174 11.447434  88.54995 45.49237 104.824196 0 0
1409910350296 212.27821 30.52569 11.177734  87.179794 45.803776 104.705444 0 0
1409910350385 214.84462 31.874714 12.250039  88.66139 45.672657 104.97594 0 0
1409910350432 214.93977 31.91668 12.201354  88.706566 45.645782 104.99151 0 0
1409910350485 214.90117 31.881601 12.182214  88.67677 45.650887 104.99003 0 0
1409910350555 214.70471 31.757448 12.171628  88.55904 45.68198 104.97164 0 0
1409910350699 214.60284 31.662123 12.157162  88.48128 45.699116 104.96656 0 0
1409910350762 215.43195 32.240677 12.282747  89.01454 45.582527 105.03669 0 0
1409910350803 215.52927 32.33578 12.282174  89.08854 45.55961 105.04078 0 0
1409910350840 215.56487 32.37991 12.298945  89.12147 45.555702 105.040184 0 0
1409910350910 215.75 32.52366 12.328711  89.24702 45.526405 105.053024 0 0
1409910350941 216.03934 32.748074 12.379974  89.44555 45.482655 105.07336 0 0
1409910351029 216.21696 32.87966 12.413489  89.5656 45.45953 105.085205 0 0
1409910351090 216.6017 33.212162 12.426055  89.839424 45.382397 105.10753 0 0
1409910351151 214.58917 31.949623 12.070547  88.61822 45.639168 104.912346 0 0
1409910351231 213.13698 30.811874 11.903295  87.62649 45.86763 104.815544 0 0
1409910351315 213.38556 30.85655 12.001393  87.72979 45.860653 104.855156 0 0
1409910351332 213.41158 30.901054 11.983763  87.75615 45.846355 104.854164 0 0
1409910351435 213.45929 30.933764 11.97862  87.786995 45.84039 104.857346 0 0
1409910351498 213.29286 30.828152 11.966732  87.686485 45.865337 104.84185 0 0
1409910351553 213.55223 30.980534 11.998971  87.83914 45.830338 104.86781 0 0
1409910351628 213.91533 31.240976 12.065365  88.07444 45.78302 104.8963 0 0
1409910351689 214.29337 31.563126 12.154154  88.34036 45.722397 104.92047 0 0
1409910351805 214.50717 31.728437 12.201029  88.48618 45.697918 104.93411 0 0
1409910351859 215.03532 32.174545 12.287031  88.86144 45.604923 104.96448 0 0
1409910351944 215.24791 32.34142 12.345104  89.00951 45.58052 104.97732 0 0
1409910352003 215.76399 32.74475 12.3938675  89.36017 45.492527 105.01472 0 0
1409910352092 216.02354 32.970757 12.449388  89.552 45.45409 105.02784 0 0
1409910352159 215.0668 32.501587 12.244505  89.034805 45.540207 104.912994 0 0
1409910352190 213.11478 31.13181 11.9300785  87.77935 45.814556 104.75057 0 0
1409910352294 212.98605 30.940859 11.64138  87.62928 45.80552 104.76614 0 0
1409910352322 213.41809 31.1916 11.702305  87.87942 45.757915 104.81049 0 0
1409910352362 213.48016 31.227032 11.738763  87.91712 45.75081 104.81633 0 0
1409910352453 213.52277 31.279127 11.728633  87.95395 45.739193 104.81674 0 0
1409910352537 213.2709 31.13642 11.788242  87.81139 45.776875 104.79013 0 0
1409910352573 213.69516 31.409166 11.861211  88.07013 45.727238 104.82805 0 0
1409910352672 213.84167 31.512291 11.917708  88.16706 45.712917 104.83948 0 0
1409910352695 214.34209 31.941055 11.823789  88.517944 45.603386 104.86823 0 0
1409910352774 214.4197 31.993542 11.804232  88.567604 45.586823 104.87633 0 0
1409910352834 214.66818 32.20138 11.858099  88.7446 45.551483 104.88966 0 0
1409910352894 214.96867 32.428658 11.885989  88.946846 45.50164 104.91089 0 0
1409910352941 215.18336 32.591145 11.932891  89.090416 45.466484 104.92766 0 0
1409910353027 215.52296 32.8557 11.988334  89.32095 45.418022 104.95219 0 0
1409910353065 215.8702 33.167473 12.008307  89.574066 45.349087 104.97161 0 0
1409910353148 215.79977 33.1828 12.024974  89.56731 45.358517 104.95206 0 0
1409910353209 213.21765 31.478268 11.4989195  87.95095 45.67526 104.721306 0 0
1409910353290 212.97522 31.175365 11.474883  87.73557 45.7362 104.723045 0 0
1409910353315 213.48239 31.454987 11.547916  88.018974 45.678074 104.77961 0 0
1409910353435 213.54561 31.505287 11.586172  88.06315 45.67578 104.78359 0 0
1409910353445 213.22093 31.328295 11.690416  87.89402 45.736614 104.74385 0 0
1409910353509 213.2212 31.312408 11.723958  87.8872 45.74974 104.746666 0 0
1409910353617 213.44801 31.458178 11.6631775  88.01831 45.700077 104.77036 0 0
1409910353654 214.18106 31.952461 11.725768  88.47612 45.59094 104.83459 0 0
1409910353741 214.25632 32.007553 11.750235  88.52405 45.58151 104.84062 0 0
1409910353827 214.36049 32.141575 11.728373  88.61846 45.55026 104.84016 0 0
1409910353902 214.6974 32.409714 11.788516  88.85409 45.502995 104.8607 0 0
1409910353956 215.17651 32.77307 11.865833  89.17505 45.429035 104.89735 0 0
1409910354054 214.54616 32.46677 11.731563  88.837776 45.49013 104.82002 0 0
1409910354100 212.55403 31.02534 11.388464  87.53245 45.763855 104.664635 0 0
1409910354214 212.98958 31.167942 11.479206  87.73635 45.73599 104.72711 0 0
1409910354290 213.2661 31.410208 11.524297  87.93173 45.69193 104.7425 0 0
1409910354320 212.88403 31.159986 11.406015  87.69227 45.728203 104.710205 0 0
1409910354434 212.94835 31.17224 11.416745  87.71757 45.72331 104.72175 0 0
1409910354481 213.57855 31.574245 11.505703  88.09943 45.639637 104.77976 0 0
1409910354497 213.79222 31.719765 11.727005  88.25311 45.645 104.79362 0 0
1409910354562 213.85994 31.78078 11.70474  88.29575 45.624973 104.799164 0 0
1409910354632 213.97964 31.891823 11.756523  88.39591 45.614506 104.80229 0 0
1409910354695 214.20876 32.0703 11.752409  88.543076 45.564453 104.81979 0 0
1409910354742 214.47478 32.279934 11.781628  88.72521 45.525 104.83818 0 0
1409910354832 213.21391 31.54746 11.555664  87.99155 45.669895 104.70724 0 0
1409910354859 211.49669 30.25685 11.316719  86.8378 45.928593 104.58489 0 0
1409910354964 214.10262 31.603594 12.232526  88.32785 45.795235 104.864975 0 0
1409910355042 214.56366 31.842878 12.438724  88.5974 45.754765 104.91638 0 0
1409910355160 214.30896 31.67349 12.381198  88.434235 45.78526 104.89427 0 0
1409910355220 214.50812 31.768854 12.428034  88.541145 45.77 104.918304 0 0
1409910355255 214.91386 32.06767 12.470351  88.81185 45.704323 104.94935 0 0
1409910355267 215.14598 32.213436 12.515781  88.95193 45.675835 104.97175 0 0
1409910355380 215.24112 32.30836 12.543542  89.02638 45.660652 104.97404 0 0
1409910355390 215.47939 32.519466 12.577786  89.20159 45.617577 104.98474 0 0
1409910355488 215.52164 32.565964 12.561588  89.237816 45.605965 104.98568 0 0
1409910355523 215.97925 32.926407 12.636354  89.548454 45.531773 105.01638 0 0
1409910355616 216.19333 33.091496 12.665352  89.69552 45.49919 105.03193 0 0
1409910355661 214.82742 32.306408 12.456263  88.90974 45.677135 104.883415 0 0
1409910355760 213.77254 31.493437 12.414193  88.19644 45.84763 104.812164 0 0
1409910355810 213.86641 31.36082 12.480821  88.166084 45.878647 104.855286 0 0
1409910355850 213.89351 31.405273 12.499336  88.19751 45.875156 104.852394 0 0
1409910355906 214.13675 31.536783 12.527708  88.33232 45.843437 104.88115 0 0
1409910356021 214.12502 31.540312 12.543294  88.33183 45.846798 104.87662 0 0
1409910356046 214.18633 31.596094 12.543607  88.374596 45.83013 104.88003 0 0
1409910356086 214.43822 31.769922 12.614635  88.54157 45.803802 104.90057 0 0
1409910356146 214.85954 32.077473 12.719558  88.82742 45.753334 104.9312 0 0
1409910356229 215.05188 32.246147 12.7375  88.96617 45.717007 104.94305 0 0
1409910356266 215.31706 32.47974 12.743125  89.15699 45.665913 104.95703 0 0
1409910356375 215.53726 32.64901 12.791159  89.30786 45.635704 104.973206 0 0
1409910356423 216.18706 33.19082 12.687969  89.75131 45.501278 105.011696 0 0
1409910356503 216.39406 33.399883 12.701119  89.91176 45.453465 105.020676 0 0
1409910356550 216.83374 33.78814 12.74168  90.23377 45.373985 105.046875 0 0
1409910356645 216.73627 33.776978 12.678398  90.19605 45.366745 105.03073 0 0
1409910356749 213.92772 31.802174 12.35707  88.39022 45.776745 104.79245 0 0
1409910356771 214.20567 31.91784 12.427591  88.53518 45.756226 104.8289 0 0
1409910356807 214.21529 31.922525 12.392995  88.53442 45.745834 104.83201 0 0
1409910356911 214.30829 31.966759 12.44832  88.58741 45.74729 104.84185 0 0
1409910356921 214.27162 31.993477 12.41306  88.5878 45.737057 104.83023 0 0
1409910357010 214.29108 32.010014 12.420495  88.60543 45.734715 104.83078 0 0
1409910357049 214.69759 32.29249 12.5130205  88.86477 45.68198 104.86326 0 0
1409910357148 215.02428 32.54307 12.552409  89.08596 45.62961 104.88714 0 0
1409910357189 215.3339 32.83331 12.591458  89.32059 45.57091 104.897446 0 0
1409910357239 215.49303 32.9897 12.607435  89.44255 45.54341 104.904274 0 0
1409910357359 215.74106 33.20831 12.651185  89.62952 45.50466 104.91622 0 0
1409910357401 216.36652 33.767124 12.716836  90.09121 45.38927 104.95263 0 0
1409910357500 216.51079 33.9115 12.711628  90.20005 45.35427 104.9607 0 0
1409910357543 216.90903 34.266823 12.799036  90.50328 45.292736 104.9843 0 0
1409910357636 215.4624 33.42444 12.496745  89.65271 45.45026 104.82232 0 0
1409910357656 214.51137 32.513985 12.44151  88.9199 45.632866 104.78331 0 0
